wave,task,status,notes
Wave 1,Verify /api/health returns ok:true,,
Wave 1,Verify /rfq form submits 200 OK,,
Wave 1,Verify /configurator updates price,,
Wave 1,Add Vercel deployment URL to deployment_report.md,,
Wave 1,Update validation_report.md with Wave 1 evidence,,
Wave 2,"Add environment variables in Vercel (Stripe, HubSpot, GA4)",,
Wave 2,Insert GA4 tracking snippet into /app/layout.tsx,,
Wave 2,Redeploy and confirm GA4 events in realtime dashboard,,
Wave 2,Update validation_report.md with GA4 confirmation,,
Wave 3,Run Playwright CI workflow (CI - Smoke),,
Wave 3,"Verify /, /rfq, /configurator tests pass",,
Wave 3,Update validation_report.md with smoke test run link,,
Wave 4,Run Lighthouse CI workflow (CI - Lighthouse),,
Wave 4,"Record scores for /, /rfq, /configurator",,
Wave 4,Update validation_report.md with Lighthouse scores,,
Wave 5,Consolidate all results into validation_report.md,,
Wave 5,Record metrics + Vercel URL in deployment_report.md,,
Wave 5,Mark Waves 1–5 complete in progress.csv,,
